Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Avg Monthly Long Distance Charges,Contract,Monthly Charge
0201-MIBOL,Female,68,No,0,0,66,None,10.45,Two Year,102.4
0201-OAMXR,Female,30,No,0,0,70,Offer A,10.21,One Year,115.55
0203-HHYIJ,Male,62,No,0,0,25,Offer C,5.57,One Year,25.3
0206-OYVOC,Female,52,Yes,2,1,46,Offer B,24.33,Two Year,19.25
0206-TBWLC,Female,63,Yes,0,7,54,Offer B,11.4,One Year,114.65
0207-MDKNV,Female,54,No,0,0,15,None,22.39,Month-to-Month,105.1
0208-BPQEJ,Female,48,Yes,1,0,12,Offer D,8.25,Month-to-Month,19.4
0215-BQKGS,Male,52,No,0,0,30,Offer C,24.73,Month-to-Month,84.3
0218-QNVAS,Male,22,Yes,1,1,71,Offer A,28.34,One Year,100.55
0219-QAERP,Male,33,Yes,0,2,30,None,9.81,One Year,19.8
0219-YTZUE,Male,26,Yes,0,5,4,Offer E,28.77,Month-to-Month,84.8
0220-EBGCE,Male,58,No,0,0,2,Offer E,14.14,Month-to-Month,85.85
0221-NAUXK,Male,22,No,1,0,10,None,7.86,One Year,19.95
0221-WMXNQ,Male,66,No,0,0,4,Offer E,36.4,One Year,75.35
0224-HJAPT,Male,25,No,0,0,5,None,22.01,Month-to-Month,47.15
0224-NIJLP,Male,30,Yes,3,1,8,Offer E,2.87,Two Year,20.15
0224-RLWWD,Female,73,No,0,0,2,Offer E,23.91,One Year,44.3
0225-ZORZP,Male,46,No,0,0,3,Offer E,13.72,Month-to-Month,84.3
0228-MAUWC,Male,40,No,0,0,19,Offer D,11.85,Month-to-Month,59.55
0229-LFJAF,Male,53,No,0,0,72,Offer A,3.66,Two Year,69.65
0231-LXVAP,Male,23,No,0,0,1,None,44.56,Month-to-Month,75.9
0233-FTHAV,Female,24,No,0,0,60,None,15.29,One Year,79.2
0235-KGSLC,Female,45,No,0,0,1,Offer E,33.34,Month-to-Month,85.55
0236-HFWSV,Male,49,No,0,0,15,None,48.93,Month-to-Month,93.35
0237-YFUTL,Female,62,Yes,0,4,50,Offer B,34.57,Month-to-Month,109.65
0238-WHBIQ,Male,25,Yes,1,10,72,Offer A,33.75,Two Year,89.7
0239-OXEXL,Female,37,No,0,0,46,None,43.27,Month-to-Month,84.25
0244-LGNFY,Female,35,Yes,1,4,72,None,30.0,Two Year,92.65
0247-SLUJI,Male,37,Yes,3,2,1,None,34.28,Month-to-Month,19.7
0248-IPDFW,Female,19,No,0,0,1,None,29.13,Month-to-Month,50.1
0248-PGHBZ,Female,69,No,0,0,67,Offer A,2.57,Two Year,92.45
0253-ZTEOB,Female,44,Yes,1,5,48,None,8.94,Two Year,79.65
0254-FNMCI,Female,19,No,0,0,72,None,41.91,Two Year,109.9
0254-KCJGT,Male,64,Yes,0,6,52,Offer B,41.34,One Year,81.4
0254-WWRKD,Female,44,Yes,3,1,67,Offer A,46.9,One Year,50.55
0256-LTHVJ,Female,58,Yes,0,1,28,Offer C,16.85,Month-to-Month,81.05
0257-KXZGU,Female,29,Yes,1,9,32,Offer C,33.28,Month-to-Month,62.45
0257-ZESQC,Female,80,Yes,0,2,27,None,7.02,Month-to-Month,75.2
0258-NOKBL,Male,22,No,0,0,3,None,31.48,Month-to-Month,90.4
0259-GBZSH,Male,22,No,0,0,2,Offer E,40.43,Month-to-Month,85.65
0260-ZDLGK,Female,50,No,2,0,9,None,35.49,Month-to-Month,72.9
0263-FJTQO,Male,53,Yes,2,10,50,Offer B,44.49,Two Year,70.5
0264-CNITK,Female,45,Yes,2,1,71,None,31.03,Two Year,20.1
0265-EDXBD,Male,76,Yes,0,2,32,Offer C,47.34,Month-to-Month,74.9
0265-PSUAE,Female,57,Yes,3,10,16,Offer D,27.27,Month-to-Month,100.7
0266-CLZKZ,Female,45,Yes,3,8,67,Offer A,17.79,Two Year,105.65
0266-GMEAO,Male,43,Yes,1,1,72,None,15.94,Two Year,114.3
0268-QKIWO,Female,41,No,0,0,3,Offer E,24.63,Month-to-Month,19.75
0269-XFESX,Male,22,Yes,3,1,23,None,48.02,One Year,24.35
0270-THENM,Male,62,Yes,2,1,72,None,28.37,Two Year,69.85
0277-BKSQP,Male,49,Yes,3,10,8,Offer E,1.56,Month-to-Month,54.4
0278-YXOOG,Male,30,No,0,0,5,Offer E,34.26,Month-to-Month,21.05
0280-XJGEX,Male,38,No,1,0,49,None,44.33,Month-to-Month,103.7
0281-CNTZX,Male,56,Yes,0,2,63,Offer B,38.36,Two Year,19.95
0285-INHLN,Male,54,Yes,6,5,27,None,36.19,Month-to-Month,54.75
0289-IVARM,Female,57,No,0,0,35,None,44.81,Month-to-Month,60.55
0292-WEGCH,Female,40,Yes,2,7,54,Offer B,4.33,Month-to-Month,86.2
0295-PPHDO,Male,56,No,0,0,1,None,5.59,Month-to-Month,95.45
0295-QVKPB,Male,38,No,0,0,5,Offer E,13.96,Month-to-Month,63.95
0297-RBCSG,Male,61,No,0,0,19,None,41.79,One Year,65.35
0301-KOBTQ,Male,50,No,0,0,32,None,14.91,Two Year,20.05
0302-JOIVN,Female,47,Yes,0,1,8,None,16.88,Month-to-Month,101.15
0303-UNCIP,Male,35,No,0,0,41,Offer B,37.55,One Year,65.0
0303-WMMRN,Male,32,No,0,0,5,None,21.01,Month-to-Month,19.25
0306-JAELE,Male,61,No,0,0,5,None,31.09,Month-to-Month,96.1
0307-BCOPK,Female,62,No,0,0,16,Offer D,41.51,One Year,19.05
0308-GIQJT,Male,80,No,0,0,71,None,6.1,One Year,105.75
0310-MVLET,Female,63,Yes,0,1,61,None,49.33,Month-to-Month,99.15
0310-SUCIN,Female,50,Yes,0,2,71,None,23.06,One Year,84.8
0310-VQXAM,Male,56,No,0,0,9,None,40.74,Month-to-Month,19.85
0311-QYWSS,Female,63,No,0,0,6,None,39.16,Month-to-Month,49.45
0311-UNPFF,Female,58,No,0,0,26,None,38.09,Month-to-Month,88.8
0314-TKOSI,Female,29,No,0,0,6,Offer E,6.98,Month-to-Month,55.15
0315-LVCRK,Male,54,No,0,0,11,None,30.57,Month-to-Month,84.8
0318-QUUOB,Male,25,Yes,0,1,1,None,43.67,Month-to-Month,80.55
0318-ZOPWS,Female,31,Yes,0,10,49,None,2.82,Two Year,20.15
0319-QZTCO,Female,25,Yes,2,9,3,Offer E,11.47,Month-to-Month,58.7
0320-DWVTU,Female,46,No,0,0,53,Offer B,43.57,Two Year,99.5
0320-JDNQG,Male,28,Yes,0,1,23,None,37.95,Month-to-Month,99.85
0322-CHQRU,Male,63,No,0,0,2,None,25.49,Month-to-Month,45.35
0322-YINQP,Male,37,No,0,0,1,None,11.35,Month-to-Month,48.55
0323-XWWTN,Male,44,No,1,0,3,None,33.87,Two Year,26.4
0324-BRPCJ,Female,74,Yes,0,1,68,None,21.33,Month-to-Month,100.2
0325-XBFAC,Male,44,No,0,0,8,None,19.49,Month-to-Month,94.7
0326-VDYXE,Female,21,Yes,0,9,70,Offer A,16.66,One Year,97.65
0327-WFZSY,Male,62,Yes,3,9,39,Offer C,17.29,One Year,100.0
0328-GRPMV,Female,43,No,0,0,1,None,17.37,Month-to-Month,70.1
0329-GTIAJ,Female,40,No,0,0,3,None,30.18,Month-to-Month,97.9
0330-BGYZE,Male,48,Yes,0,8,60,Offer B,19.22,One Year,102.5
0330-IVZHA,Female,55,Yes,0,1,5,Offer E,17.08,Month-to-Month,69.95
0334-GDDSO,Male,77,No,0,0,3,Offer E,9.22,Month-to-Month,81.35
0334-ZFJSR,Female,41,Yes,0,0,55,None,35.38,One Year,66.05
0336-PIKEI,Male,69,Yes,0,7,72,Offer A,5.27,Two Year,74.4
0337-CNPZE,Female,63,No,0,0,41,None,10.43,Month-to-Month,106.3
0345-HKJVM,Female,43,No,0,0,6,None,2.6,Month-to-Month,89.3
0345-XMMUG,Female,29,Yes,0,6,46,None,2.0,Two Year,108.9
0347-UBKUZ,Female,46,No,0,0,15,None,2.74,Month-to-Month,19.9
0348-SDKOL,Female,33,Yes,0,1,58,None,3.51,Month-to-Month,102.1
0354-VXMJC,Male,60,Yes,3,10,23,None,34.04,Two Year,19.6
0354-WYROK,Female,70,Yes,0,1,31,Offer C,47.95,Month-to-Month,98.9
0356-ERHVT,Male,54,Yes,0,1,11,Offer D,12.95,Month-to-Month,45.9
0356-OBMAC,Female,80,No,0,0,56,None,17.33,Two Year,99.9
0357-NVCRI,Female,41,No,3,0,25,Offer C,12.87,Month-to-Month,20.05
0362-RAOQO,Female,48,No,0,0,40,None,26.03,Two Year,19.65
0362-ZBZWJ,Male,46,No,0,0,36,None,24.66,Month-to-Month,84.9
0363-QJVFX,Male,22,No,0,0,32,Offer C,27.69,Month-to-Month,108.15
0363-SVHYR,Male,28,Yes,3,10,71,Offer A,10.11,Two Year,86.85
0365-BZUWY,Male,58,Yes,0,2,17,Offer D,10.11,Month-to-Month,102.55
0365-GXEZS,Male,55,Yes,0,6,18,Offer D,31.79,Month-to-Month,78.2
0365-TRTPY,Female,52,No,0,0,37,None,11.73,Month-to-Month,91.2
0366-NQSHS,Male,42,No,0,0,2,None,44.34,Month-to-Month,19.35
0369-ZGOVK,Female,56,Yes,2,6,28,Offer C,12.94,One Year,70.4
0374-AACSZ,Female,63,No,0,0,1,Offer E,38.33,Month-to-Month,50.15
0374-FIUCA,Male,59,Yes,0,1,65,None,23.46,Two Year,20.4
0374-IOEGQ,Female,62,No,0,0,3,None,15.59,Month-to-Month,44.6
0376-OIWME,Male,24,Yes,0,3,36,Offer C,41.33,Month-to-Month,93.6
0376-YMCJC,Male,21,No,0,0,23,None,38.69,Month-to-Month,90.6
0377-JBKKT,Male,21,Yes,3,9,22,Offer D,42.58,Month-to-Month,57.95
0378-CJKPV,Female,56,Yes,0,1,72,None,4.56,Two Year,112.1
0378-NHQXU,Female,31,Yes,0,7,17,None,17.91,Month-to-Month,88.25
0378-TOVMS,Female,20,No,0,0,3,None,10.6,Month-to-Month,85.8
0378-XSZPU,Male,31,Yes,0,1,58,Offer B,17.22,One Year,60.3
0379-DJQHR,Male,60,Yes,0,1,67,None,45.25,Two Year,81.35
0380-NEAVX,Male,72,No,0,0,34,None,35.0,One Year,99.85
0380-ZCSBI,Male,56,No,0,0,10,None,4.42,Month-to-Month,20.0
0383-CLDDA,Female,42,No,0,0,69,Offer A,18.47,Two Year,85.35
0384-RVBPI,Male,64,No,0,0,20,Offer D,12.6,Month-to-Month,64.4
0386-CWRGM,Female,61,Yes,1,9,46,None,47.5,Two Year,19.4
0388-EOPEX,Female,28,Yes,0,1,2,None,9.79,Month-to-Month,74.4
0390-DCFDQ,Female,76,Yes,2,1,1,Offer E,15.28,Month-to-Month,70.45
0392-BZIUW,Female,44,Yes,0,7,72,None,6.58,Two Year,105.0
0394-YONDK,Male,28,Yes,3,0,70,None,1.22,Two Year,25.15
0396-HUJBP,Female,34,No,0,0,2,None,49.91,Month-to-Month,19.3
0396-UKGAI,Male,25,No,3,0,23,Offer D,1.58,Month-to-Month,55.3
0396-YCHWO,Male,58,Yes,0,4,36,Offer C,40.58,Month-to-Month,95.4
0397-GZBBC,Male,70,Yes,0,0,59,None,10.78,Month-to-Month,93.85
0397-ZXWQF,Male,24,No,0,0,67,Offer A,47.31,Two Year,20.5
0401-WDBXM,Male,22,Yes,3,4,72,None,8.33,Two Year,105.55
0402-CQAJN,Female,22,No,0,0,37,None,24.04,Month-to-Month,101.9
0402-OAMEN,Female,36,Yes,1,4,72,Offer A,20.56,Two Year,24.45
0404-AHASP,Male,23,Yes,0,10,72,Offer A,27.97,Two Year,19.7
0404-SWRVG,Male,21,No,2,0,3,Offer E,14.6,Month-to-Month,74.4
0406-BPDVR,Female,75,Yes,0,0,54,Offer B,33.49,One Year,101.5
0407-BDJKB,Male,59,Yes,0,1,60,None,35.22,Month-to-Month,95.75
0409-WTMPL,Female,35,Yes,0,8,58,Offer B,37.95,One Year,110.65
0410-IPFTY,Female,64,Yes,0,1,31,Offer C,12.03,Month-to-Month,83.85
0411-EZJZE,Female,62,No,0,0,3,None,20.1,Month-to-Month,60.25
0412-UCCNP,Male,20,No,0,0,55,None,12.28,Two Year,59.2
0415-MOSGF,Female,58,No,0,0,1,Offer E,26.53,Month-to-Month,44.4
0419-YAAPX,Male,44,Yes,0,1,49,Offer B,14.21,Month-to-Month,85.3
0420-HLGXF,Female,72,No,0,0,39,None,10.03,Two Year,99.75
0420-TXVSG,Male,43,Yes,0,9,66,Offer A,37.71,Two Year,66.1
0422-OHQHQ,Female,23,Yes,0,7,15,None,34.63,One Year,20.55
0422-UXFAP,Female,34,Yes,0,1,51,Offer B,47.72,One Year,98.85
0423-UDIJQ,Male,74,No,0,0,9,None,7.11,Two Year,49.2
0426-TIRNE,Female,54,No,0,0,1,Offer E,15.51,Month-to-Month,20.9
0428-AXXLJ,Male,29,No,0,0,25,Offer C,3.58,One Year,19.5
0428-IKYCP,Male,56,Yes,0,9,22,None,48.68,Month-to-Month,87.0
0430-IHCDJ,Male,40,No,0,0,15,None,11.75,Month-to-Month,49.0
0431-APWVY,Female,37,Yes,0,1,28,None,18.31,One Year,90.1
0432-CAJZV,Male,47,No,0,0,3,None,5.39,Month-to-Month,90.7
0434-CSFON,Female,34,Yes,0,3,47,Offer B,38.15,Month-to-Month,100.5
0436-TWFFZ,Female,21,No,0,0,67,Offer A,8.71,Two Year,85.25
0439-IFYUN,Female,78,No,0,0,18,Offer D,21.09,Month-to-Month,74.7
0440-EKDCF,Male,47,Yes,0,1,62,Offer B,33.7,Two Year,60.15
0440-MOGPM,Female,51,No,0,0,41,None,6.16,One Year,80.55
0440-QEXBZ,Female,64,No,0,0,44,Offer B,18.42,Month-to-Month,50.15
0440-UEDAI,Female,59,No,0,0,53,None,33.88,One Year,94.45
0442-TDYUO,Male,44,Yes,0,4,48,None,33.06,Two Year,20.05
0442-ZXKVS,Female,79,Yes,0,2,54,Offer B,43.71,One Year,115.6
0447-RXSGD,Male,39,No,0,0,24,Offer C,25.68,Month-to-Month,99.65
0454-OKRCT,Male,32,No,0,0,33,Offer C,34.85,Two Year,80.6
0455-ENTCR,Male,58,Yes,0,1,66,None,42.85,Two Year,85.25
0455-XFASS,Female,61,Yes,2,3,3,None,1.67,Month-to-Month,69.55
0459-SPZHJ,Male,19,Yes,0,1,63,None,13.45,Two Year,83.5
0461-CVKMU,Female,45,Yes,0,0,23,None,38.81,Month-to-Month,83.8
0463-TXOAK,Male,26,No,1,0,52,None,23.12,Two Year,25.6
0463-WZZKO,Male,23,No,0,0,3,Offer E,16.39,Month-to-Month,20.75
0463-ZSDNT,Male,23,No,0,0,10,None,30.3,Month-to-Month,56.75
0464-WJTKO,Female,39,Yes,2,10,72,None,14.17,Two Year,20.1
0468-YRPXN,Male,62,No,0,0,29,Offer C,48.2,Month-to-Month,98.8
0471-ARVMX,Female,70,Yes,0,8,62,Offer B,22.74,One Year,104.85
0471-LVHGK,Male,34,Yes,0,1,41,None,15.91,One Year,73.0
0475-RIJEP,Male,47,No,0,0,43,Offer B,49.13,Month-to-Month,77.85
0479-HMSWA,Female,63,No,1,0,26,Offer C,2.48,Two Year,105.45
0480-BIXDE,Female,58,Yes,0,9,19,Offer D,10.68,Month-to-Month,96.8
0480-KYJVA,Female,42,Yes,3,8,72,None,47.6,Two Year,24.25
0481-SUMCB,Female,74,No,0,0,45,Offer B,34.12,One Year,102.15
0484-FFVBJ,Male,43,No,0,0,32,None,15.52,One Year,64.85
0484-JPBRU,Male,23,No,0,0,41,None,41.21,Month-to-Month,25.25
0485-ZBSLN,Male,52,Yes,2,4,65,None,36.5,Two Year,24.75
0486-HECZI,Male,37,Yes,1,0,55,None,49.06,Month-to-Month,96.75
0486-LGCCH,Male,48,Yes,2,2,11,Offer D,40.76,Two Year,19.65
0487-CRLZF,Female,58,No,0,0,49,Offer B,7.51,Two Year,74.45
0487-RPVUM,Male,49,Yes,0,1,61,None,15.15,Month-to-Month,99.4
0487-VVUVK,Male,49,Yes,2,5,25,None,19.09,Month-to-Month,19.15
0488-GSLFR,Female,41,No,0,0,1,None,8.31,Month-to-Month,69.5
0489-WMEMG,Female,61,No,3,0,23,Offer D,25.85,One Year,49.45
0491-KAPQG,Male,28,No,0,0,21,Offer D,28.54,Month-to-Month,73.7
0495-RVCBF,Female,39,No,0,0,1,None,33.88,Month-to-Month,79.7
0495-ZBNGW,Male,78,Yes,0,1,5,None,6.66,Month-to-Month,-1.0
0496-AHOOK,Male,61,Yes,0,10,24,Offer C,32.86,One Year,74.4
0504-HHAPI,Female,72,No,0,0,27,None,16.94,Month-to-Month,88.3
0505-SPOOW,Female,41,Yes,0,7,70,Offer A,11.71,Two Year,19.8
0506-LVNGN,Female,78,No,0,0,5,None,42.33,Month-to-Month,75.55
0506-YLVKJ,Male,54,Yes,1,1,46,None,45.92,Two Year,20.2
0508-OOLTO,Female,33,Yes,1,5,2,None,29.03,Month-to-Month,71.65
0508-SQWPL,Female,32,Yes,3,9,57,Offer B,26.67,Two Year,20.1
0511-JTEOY,Female,41,No,0,0,1,Offer E,10.19,Month-to-Month,71.1
0512-FLFDW,Female,74,Yes,0,3,60,None,27.68,One Year,100.5
0513-RBGPE,Male,57,Yes,0,6,37,None,4.5,Two Year,62.8
0515-YPMCW,Male,42,No,0,0,1,None,42.87,Month-to-Month,70.45
0516-OOHAR,Male,39,Yes,2,8,28,None,7.73,One Year,100.35
0516-QREYC,Female,78,No,0,0,24,None,18.39,Two Year,20.3
0516-UXRMT,Female,27,No,0,0,62,None,23.88,One Year,92.05
0516-VRYBW,Female,39,No,0,0,18,Offer D,8.95,One Year,20.15
0516-WJVXC,Female,21,No,0,0,5,None,3.61,Month-to-Month,54.2
0519-DRGTI,Female,58,Yes,3,9,20,None,42.46,Month-to-Month,20.35
0519-XUZJU,Female,56,No,0,0,1,None,26.0,Month-to-Month,70.75
0520-FDVVT,Male,26,No,0,0,35,None,39.84,One Year,102.35
0524-IAVZO,Female,25,Yes,0,1,30,Offer C,4.82,Month-to-Month,85.0
0529-ONKER,Male,70,No,0,0,15,Offer D,46.38,Month-to-Month,75.65
0530-IJVDB,Male,36,No,2,0,70,Offer A,26.67,Two Year,114.6
0531-XBKMM,Male,37,No,2,0,66,None,32.12,Two Year,65.7
0531-ZZJWQ,Male,68,Yes,0,6,55,None,42.9,Two Year,74.0
0533-BNWKF,Female,66,Yes,0,2,55,Offer B,42.82,Month-to-Month,85.45
0533-UCAAU,Male,72,Yes,0,2,57,None,48.16,One Year,71.1
0536-ACXIP,Female,34,Yes,0,9,72,None,44.2,Two Year,109.55
0536-BGFMZ,Female,27,Yes,0,3,28,None,42.33,Month-to-Month,20.5
0536-ESJEP,Male,48,Yes,0,8,54,None,14.18,Two Year,74.55
0537-QYZZN,Male,66,Yes,2,6,24,Offer C,4.06,Two Year,79.85
0541-FITGH,Female,59,Yes,0,6,2,Offer E,48.39,Month-to-Month,62.15
0547-HURJB,Male,19,No,2,0,12,Offer D,19.38,Month-to-Month,21.05
0549-CYCQN,Male,69,No,0,0,51,None,24.92,One Year,79.6
0550-DCXLH,Male,64,No,0,0,13,None,40.99,Month-to-Month,73.35
0556-FJEGU,Male,26,No,0,0,58,Offer B,47.47,Two Year,70.1
0557-ASKVU,Female,43,Yes,0,2,18,Offer D,44.97,One Year,54.4
0559-CKHUS,Female,44,Yes,0,6,29,Offer C,49.96,Two Year,19.55
