Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Avg Monthly Long Distance Charges,Contract,Monthly Charge,Customer Status
5320-BRKGK,1,28,1,2,1,58,Offer B,2.87,Two Year,75.8,0
6185-TASNN,0,71,0,0,0,1,Offer E,11.51,Two Year,46.3,0
3807-XHCJH,1,21,1,3,4,1,None,6.86,Month-to-Month,20.0,0
2720-WGKHP,0,65,0,0,0,2,Offer E,20.99,Month-to-Month,94.0,1
0215-BQKGS,0,52,0,0,0,30,Offer C,24.73,Month-to-Month,84.3,0
6892-EZDTG,1,55,1,0,1,4,Offer E,21.81,Month-to-Month,91.65,1
0362-ZBZWJ,0,46,0,0,0,36,None,24.66,Month-to-Month,84.9,1
3348-CFRNX,1,47,1,0,1,28,None,37.66,Month-to-Month,92.35,1
4724-WXVWF,0,28,0,0,0,48,None,4.15,Month-to-Month,95.4,0
3070-FNFZQ,1,48,1,1,1,23,Offer D,39.59,Two Year,20.4,0
7552-KEYGT,0,53,1,0,1,27,Offer C,44.19,Two Year,-9.0,0
4176-RELJR,0,73,0,0,0,67,None,14.69,Two Year,25.1,0
8739-XNIKG,1,29,0,0,0,5,None,48.49,Month-to-Month,84.0,0
9885-AIBVB,0,62,1,0,4,29,None,39.5,Month-to-Month,85.8,0
7780-OTDSO,0,51,1,0,1,18,None,11.3,Month-to-Month,99.4,1
6048-QBXKL,1,68,0,0,0,2,Offer E,31.74,Month-to-Month,56.55,0
7517-SAWMO,1,31,1,0,1,19,Offer D,25.75,Month-to-Month,73.2,1
4706-AXVKM,1,78,0,0,0,11,None,4.1,Month-to-Month,84.8,1
1431-CYWMH,1,35,1,1,0,22,Offer D,46.45,Month-to-Month,19.05,0
8849-GYOKR,1,59,1,0,2,54,None,8.83,One Year,106.55,1
8042-JVNFH,0,23,0,0,0,1,None,35.28,Month-to-Month,71.35,1
2880-FPNAE,0,69,1,0,1,2,Offer E,7.29,Two Year,74.2,0
1271-UODNO,0,60,0,0,0,39,None,5.4,Two Year,53.85,0
4376-KFVRS,0,52,1,0,5,72,Offer A,30.75,Two Year,114.05,0
6627-CFOSN,1,54,0,0,0,59,Offer B,39.42,Month-to-Month,99.45,0
4250-ZBWLV,0,24,0,0,0,68,Offer A,21.74,One Year,108.45,1
2931-FSOHN,0,76,0,0,0,13,None,49.9,Month-to-Month,59.9,0
1084-MNSMJ,1,63,1,0,10,51,Offer B,33.93,Two Year,85.5,0
3219-JQRSL,1,70,1,0,1,72,None,24.44,Two Year,89.1,0
6016-NXBNJ,0,53,0,0,0,35,None,7.74,One Year,19.15,0
9442-JTWDL,1,52,0,0,0,11,None,26.85,One Year,20.05,0
1023-BQXZE,0,30,0,0,0,57,None,24.67,Two Year,74.35,0
4749-VFKVB,1,47,0,0,0,1,None,46.49,Month-to-Month,50.1,1
9947-OTFQU,0,65,0,0,0,15,Offer D,29.11,Month-to-Month,74.4,1
0697-ZMSWS,0,19,0,0,0,4,None,6.91,Month-to-Month,85.65,1
9544-PYPSJ,1,67,1,2,1,62,None,45.76,Two Year,96.1,0
5168-MSWXT,0,26,1,3,4,8,None,22.14,Month-to-Month,94.75,0
6972-SNKKW,1,60,0,0,0,6,None,47.46,Month-to-Month,20.0,0
7978-DKUQH,1,26,1,0,7,25,None,37.1,Month-to-Month,74.6,0
3556-BVQGL,1,21,1,0,2,20,Offer D,19.15,One Year,20.0,0
7779-LGOVN,0,74,1,0,2,10,None,46.5,Month-to-Month,86.65,1
4587-NUKOX,1,60,0,0,0,3,Offer E,32.43,Month-to-Month,79.1,1
9057-SIHCH,1,48,0,0,0,3,Offer E,9.95,Month-to-Month,96.6,1
0487-RPVUM,0,49,1,0,1,61,None,15.15,Month-to-Month,99.4,0
9451-WLYRI,1,50,1,0,5,53,Offer B,46.24,One Year,19.05,0
5562-YJQGT,1,57,0,0,0,2,None,2.46,Month-to-Month,20.35,0
3199-NPKCN,1,39,1,0,1,67,None,35.03,One Year,111.25,0
5405-ZMYXQ,1,21,0,0,0,8,Offer E,1.28,Month-to-Month,74.6,0
4868-AADLV,0,77,1,2,0,66,None,3.27,One Year,116.25,0
2451-YMUXS,0,79,0,0,0,67,Offer A,28.88,Two Year,64.55,0
9069-LGEUL,0,25,1,0,5,23,None,3.67,Month-to-Month,59.95,0
4993-JCRGJ,0,62,0,0,0,26,None,37.69,Month-to-Month,84.3,0
8058-DMYRU,0,69,0,0,0,54,None,18.58,Two Year,-8.0,0
2530-FMFXO,0,38,1,1,3,56,Offer B,42.16,Two Year,103.2,0
5960-WPXQM,0,24,0,0,0,1,None,31.34,Month-to-Month,79.05,1
3125-RAHBV,0,24,0,0,0,22,Offer D,23.03,One Year,20.3,0
8155-IBNHG,1,55,1,0,1,24,None,17.73,Month-to-Month,75.4,1
2560-PPCHE,1,22,0,0,0,65,None,26.83,One Year,105.05,0
9776-CLUJA,1,69,1,0,1,51,None,17.87,Month-to-Month,77.5,1
1231-YNDEK,0,49,0,0,0,58,None,29.31,Two Year,19.15,0
8429-XIBUM,0,44,0,0,0,22,Offer D,10.33,Month-to-Month,101.35,1
7088-FBAWU,1,22,1,2,8,17,Offer D,44.9,Month-to-Month,74.55,0
2372-HWUHI,0,45,0,0,0,2,Offer E,46.84,Month-to-Month,44.35,1
8496-DMZUK,0,62,0,0,0,30,Offer C,7.19,One Year,90.4,0
4079-ULGFR,0,22,0,0,0,16,Offer D,4.13,Month-to-Month,20.0,0
4910-AQFFX,0,30,1,0,1,9,None,31.67,Month-to-Month,79.35,1
1208-DNHLN,0,60,1,0,1,23,None,5.8,One Year,48.35,1
6723-WSNTY,1,73,1,0,3,66,None,6.94,One Year,108.1,0
7683-CBDKJ,0,42,1,1,1,14,None,45.6,Month-to-Month,65.45,1
6614-YWYSC,0,68,1,0,5,61,None,19.14,Two Year,25.0,0
7874-ECPQJ,1,57,0,2,0,4,None,27.37,Month-to-Month,20.05,0
3174-AKMAS,1,61,1,0,1,46,None,37.02,Two Year,64.2,0
1017-FBQMM,1,47,1,2,8,62,Offer B,15.05,One Year,106.05,0
4290-BSXUX,0,33,1,0,1,3,None,43.27,Month-to-Month,79.65,1
4753-PADAS,1,23,1,0,2,67,Offer A,25.46,One Year,105.7,0
3319-DWOEP,0,69,1,0,0,6,Offer E,47.9,Month-to-Month,95.75,1
5321-NTRKC,0,25,1,1,8,66,Offer A,35.01,Two Year,79.85,0
0004-TLHLJ,0,50,0,0,0,4,Offer E,33.65,Month-to-Month,73.9,1
9633-XQABV,1,33,0,0,0,3,Offer E,25.4,Month-to-Month,70.25,0
3227-WLKLI,1,52,1,3,1,65,None,10.11,Two Year,91.55,0
0621-TWIEM,0,28,0,0,0,10,Offer D,34.44,Month-to-Month,45.55,1
2379-ENZGV,0,61,0,0,0,6,Offer E,39.32,Month-to-Month,84.85,1
2558-BUOZZ,0,51,0,0,0,47,Offer B,40.25,One Year,94.8,0
2001-EWBQU,1,23,0,0,0,60,None,35.47,Two Year,104.7,0
8603-IJWDN,0,41,0,0,0,1,Offer E,5.43,Month-to-Month,86.6,1
9090-SGQXL,0,70,1,0,1,68,None,47.17,Month-to-Month,105.3,1
2150-UWTFY,1,21,1,3,1,22,Offer D,42.98,Month-to-Month,61.15,1
3482-ABPKK,1,19,0,0,0,28,Offer C,28.42,One Year,54.3,0
5296-BFCYD,0,35,1,2,4,46,None,14.91,Two Year,20.1,0
7666-WKRON,1,39,0,0,0,39,None,24.45,Two Year,80.45,1
9481-IEBZY,0,69,1,0,6,72,Offer A,30.3,Two Year,112.9,0
6651-RLGGM,0,54,1,2,2,67,Offer A,14.54,Two Year,26.3,0
6082-GLJIX,0,50,0,0,0,18,Offer D,31.33,Month-to-Month,19.25,0
6754-LZUKA,0,29,1,0,1,61,None,23.31,Two Year,80.9,0
5922-ABDVO,1,20,1,0,1,19,Offer D,21.71,Month-to-Month,89.65,1
7893-IXHRQ,0,53,0,0,0,1,None,15.91,Month-to-Month,20.55,1
7359-SSBJK,1,80,0,0,0,64,Offer B,29.12,Two Year,70.2,1
7296-PIXQY,1,60,1,2,0,14,Offer D,23.0,Month-to-Month,70.2,0
9110-HSGTV,1,46,0,0,0,69,Offer A,25.73,Two Year,82.45,0
7593-JNWRU,0,61,1,1,5,6,Offer E,49.2,Month-to-Month,44.6,1
1087-UDSIH,1,38,0,0,0,3,Offer E,13.28,Month-to-Month,19.6,1
3096-YXENJ,1,25,1,0,1,65,None,27.69,Two Year,107.65,0
8495-PRWFH,1,66,0,0,0,42,None,27.0,Month-to-Month,55.65,0
0036-IHMOT,1,37,1,3,10,55,None,35.04,One Year,103.7,0
7813-TKCVO,1,23,1,0,1,20,None,27.96,One Year,20.35,0
7898-PDWQE,0,22,1,0,2,71,Offer A,18.04,Two Year,80.4,0
4877-EVATK,0,30,0,0,0,1,None,46.77,Month-to-Month,20.0,1
6051-PTVNS,1,31,1,1,0,55,Offer B,27.7,One Year,19.15,0
3727-JEZTU,1,29,0,0,0,1,None,45.91,Month-to-Month,20.4,0
8617-ENBDS,0,29,0,0,0,3,None,27.34,Month-to-Month,73.6,0
7641-TQFHN,0,21,0,1,0,39,Offer C,14.72,Two Year,100.55,0
1053-MXTTK,1,63,1,1,1,72,None,14.46,Two Year,108.65,0
6179-GJPSO,1,67,0,0,0,43,None,31.83,Month-to-Month,108.15,1
7285-KLOTR,1,46,1,0,3,12,None,25.09,One Year,78.85,0
5913-INRQV,0,71,1,0,7,34,None,26.49,One Year,90.15,0
6923-EFPNL,0,39,0,0,0,4,None,9.98,Month-to-Month,51.75,1
7694-VLBWQ,0,61,1,0,4,67,Offer A,8.18,One Year,104.1,1
5439-WIKXB,0,65,1,0,8,41,Offer B,46.46,Month-to-Month,94.55,0
7113-HIPFI,0,59,1,2,10,66,Offer A,26.91,Two Year,65.85,0
7140-ADSMJ,0,23,0,0,0,8,Offer E,35.21,Month-to-Month,20.45,0
0390-DCFDQ,1,76,1,2,1,1,Offer E,15.28,Month-to-Month,70.45,1
7269-JISCY,1,48,0,0,0,55,None,33.6,One Year,45.05,0
2266-FUBDZ,0,19,1,3,2,15,None,46.47,Two Year,19.35,0
5144-TVGLP,0,68,0,0,0,38,None,46.96,Two Year,94.75,0
0297-RBCSG,0,61,0,0,0,19,None,41.79,One Year,65.35,0
4878-BUNFV,0,59,1,1,10,42,Offer B,32.02,Two Year,20.7,0
8988-ECPJR,1,79,1,0,1,34,Offer C,25.84,Month-to-Month,79.6,1
3061-BCKYI,0,27,0,0,0,14,Offer D,43.5,Month-to-Month,19.9,0
9564-KCLHR,0,58,0,0,0,1,None,6.44,Month-to-Month,51.25,1
6923-JHPMP,1,35,0,0,0,2,None,35.41,Month-to-Month,80.45,0
5135-RDDQL,1,37,1,1,6,63,Offer B,25.32,Two Year,50.65,0
1527-SXDPN,0,63,1,0,1,52,None,46.59,Two Year,96.25,1
6726-WEXXK,0,72,1,0,7,27,None,41.11,One Year,85.9,0
5208-HFSBT,1,47,0,0,0,2,Offer E,42.55,Month-to-Month,55.05,1
4512-ZUIYL,1,31,0,0,0,2,Offer E,37.76,Month-to-Month,70.0,1
5928-QLDHB,0,48,0,0,0,9,None,34.75,Month-to-Month,76.25,0
0057-QBUQH,1,31,0,3,0,43,None,30.64,Two Year,25.1,0
2587-YNLES,1,52,1,1,4,6,Offer E,25.05,Two Year,20.1,0
4785-NKHCX,0,65,0,0,0,5,Offer E,30.14,One Year,20.05,0
7850-VWJUU,1,37,0,0,0,23,None,24.04,Month-to-Month,75.0,0
7925-PNRGI,1,51,1,2,9,45,Offer B,10.21,Month-to-Month,81.3,0
1480-BKXGA,0,75,1,0,5,72,Offer A,21.37,Two Year,116.05,0
3030-ZKIWL,0,23,0,0,0,1,None,18.15,Month-to-Month,20.05,0
9418-RUKPH,1,26,1,3,7,38,Offer C,49.9,Two Year,19.95,0
5406-KGRMX,1,30,0,0,0,71,None,2.66,Two Year,24.55,0
4983-CCWMC,0,43,0,0,0,3,None,28.97,Month-to-Month,69.6,0
2896-TBNBE,0,46,1,0,5,40,Offer B,12.97,One Year,80.8,0
2853-CWQFQ,0,20,0,1,0,1,None,41.39,Month-to-Month,59.55,0
2055-BFOCC,0,65,1,0,1,63,None,40.65,One Year,84.0,0
8659-IOOPU,1,25,1,2,4,71,Offer A,32.16,Two Year,100.45,0
3259-QMXUN,0,38,1,0,3,58,Offer B,22.14,Two Year,86.1,0
2075-PUEPR,0,46,1,2,2,55,None,24.7,Two Year,19.35,0
4614-NUVZD,1,53,0,0,0,1,None,22.86,Month-to-Month,81.1,1
6854-EXGSF,1,37,0,0,0,8,Offer E,8.73,Month-to-Month,65.5,0
5286-YHCVC,0,58,1,0,4,72,None,40.49,Two Year,104.8,0
9802-CAQUT,1,27,1,3,9,72,None,33.39,Two Year,109.55,0
1866-OBPNR,0,28,1,1,5,1,None,42.99,Month-to-Month,74.6,0
2873-ZLIWT,1,64,1,0,1,40,Offer B,2.03,Month-to-Month,84.85,1
0236-HFWSV,0,49,0,0,0,15,None,48.93,Month-to-Month,93.35,1
2038-LLMLM,1,35,0,0,0,48,None,10.5,Month-to-Month,-4.0,0
9609-BENEA,0,50,1,0,6,35,Offer C,45.97,One Year,69.0,0
0228-MAUWC,0,40,0,0,0,19,Offer D,11.85,Month-to-Month,59.55,0
7621-VPNET,1,60,1,0,8,42,None,20.58,Month-to-Month,85.9,0
1015-JPFYW,0,47,0,2,0,7,None,49.16,One Year,19.45,0
5161-UBZXI,0,38,1,2,1,69,None,42.9,Two Year,106.35,0
4526-RMTLL,0,32,1,1,0,8,Offer E,37.28,Two Year,76.15,0
0512-FLFDW,1,74,1,0,3,60,None,27.68,One Year,100.5,0
2984-AFWNC,1,52,0,0,0,3,None,17.01,Month-to-Month,95.4,0
7515-LODFU,0,67,0,0,0,69,None,20.62,Two Year,-7.0,0
3165-HDOEW,0,47,1,0,1,1,None,14.9,Month-to-Month,45.85,1
3420-ZDBMA,0,78,0,0,0,5,Offer E,17.13,Two Year,71.45,0
7661-CPURM,0,49,0,0,0,19,Offer D,43.11,One Year,87.7,0
2775-SEFEE,0,56,0,1,0,10,None,29.95,Two Year,61.9,0
6654-QGBZZ,1,21,0,0,0,1,None,1.5,Month-to-Month,19.9,0
5364-EVNIB,0,61,0,0,0,13,None,30.88,Month-to-Month,79.8,1
1091-SOZGA,1,27,1,0,1,56,None,42.37,One Year,99.8,0
0489-WMEMG,1,61,0,3,0,23,Offer D,25.85,One Year,49.45,0
2371-KFUOG,0,54,0,0,0,58,Offer B,32.67,One Year,99.15,0
5176-OLSKT,1,49,1,0,5,66,Offer A,44.4,Two Year,66.9,0
3707-GNWHM,0,28,0,0,0,1,None,21.8,Month-to-Month,74.25,1
9462-MJUAW,0,60,0,0,0,4,None,30.44,Month-to-Month,50.4,1
4522-XRWWI,0,30,1,0,1,42,Offer B,17.31,One Year,80.45,0
7463-IFMQU,1,44,1,0,1,72,None,47.24,Two Year,20.05,0
1849-RJYIG,1,43,0,0,0,8,None,46.78,Month-to-Month,60.0,0
9079-LWTFD,0,50,0,0,0,47,None,47.73,Month-to-Month,100.75,0
0089-IIQKO,1,35,1,3,1,39,None,24.38,Month-to-Month,99.95,0
4318-RAJVY,1,57,0,0,0,10,None,2.84,One Year,19.8,0
1501-SGHBW,0,34,0,0,0,2,None,19.52,Month-to-Month,45.85,1
5117-IFGPS,0,73,1,0,7,29,Offer C,36.75,Two Year,84.3,0
5371-VYLSX,1,65,0,0,0,50,None,47.99,Month-to-Month,83.4,0
9445-ZUEQE,0,33,1,1,1,27,Offer C,48.17,Month-to-Month,85.2,0
7587-RZNME,0,23,0,0,0,3,Offer E,48.84,Month-to-Month,43.3,1
6897-RWMUB,0,23,1,2,2,61,None,42.31,Two Year,-6.0,0
6285-FTQBF,0,53,1,3,4,72,Offer A,36.82,Two Year,25.55,0
2474-LCNUE,1,20,1,0,5,23,Offer D,14.53,Month-to-Month,73.65,0
5619-XZZKR,0,47,0,0,0,4,None,6.86,One Year,19.95,0
1587-FKLZB,0,79,1,0,1,66,Offer A,28.86,Month-to-Month,99.5,1
6075-QMNRR,1,33,0,0,0,52,Offer B,38.93,Month-to-Month,49.75,0
9019-QVLZD,1,58,0,0,0,1,None,32.13,Month-to-Month,79.55,1
0887-HJGAR,0,57,0,0,0,1,Offer E,5.55,Month-to-Month,45.7,1
1833-VGRUM,1,70,0,0,0,1,Offer E,48.95,Month-to-Month,74.2,1
8309-IEYJD,1,73,0,0,0,1,Offer E,32.61,Two Year,70.6,0
5014-WUQMG,0,23,1,2,1,47,Offer B,15.59,One Year,96.1,0
3099-OONVS,0,34,1,1,6,25,Offer C,37.97,Month-to-Month,54.3,0
6633-MPWBS,0,47,0,0,0,5,Offer E,7.31,Month-to-Month,49.2,1
7267-FRMJW,1,25,1,3,1,25,Offer C,4.57,Two Year,20.1,0
6323-AYBRX,0,51,0,0,0,59,None,26.63,Two Year,19.35,1
8404-VLQFB,1,21,1,1,1,15,None,29.55,Month-to-Month,25.25,0
5067-WJEUN,0,42,1,2,1,67,Offer A,10.9,Two Year,54.2,0
2637-FKFSY,1,61,1,0,2,3,None,2.66,Month-to-Month,46.1,0
8229-MYEJZ,1,44,0,0,0,10,Offer D,45.56,Month-to-Month,51.2,0
9819-FBNSV,0,75,1,0,8,37,None,23.54,Two Year,72.25,0
4381-MHQDC,1,38,0,0,0,47,Offer B,35.75,Two Year,65.0,0
8067-NIOYM,1,51,1,3,9,24,Offer C,20.6,Two Year,21.1,0
0684-AOSIH,0,42,1,0,1,1,None,12.04,Month-to-Month,95.0,1
2812-REYAT,1,56,1,0,3,49,None,22.1,One Year,20.05,0
6874-SGLHU,0,44,0,0,0,30,None,12.17,One Year,97.0,0
3486-KHMLI,0,53,0,1,0,21,Offer D,31.26,Month-to-Month,24.7,0
5774-XZTQC,1,30,1,1,3,7,Offer E,5.84,Month-to-Month,20.45,0
2111-DWYHN,0,31,0,0,0,1,None,18.81,Month-to-Month,21.1,0
4184-VODJZ,0,62,1,2,4,63,Offer B,48.62,One Year,91.35,0
9143-CANJF,1,29,1,3,7,24,None,27.37,Month-to-Month,55.15,0
7017-VFULY,1,38,1,0,9,2,None,32.86,Month-to-Month,20.1,0
1088-AUUZZ,0,33,1,1,6,56,Offer B,37.58,Two Year,75.85,0
2180-DXNEG,1,46,0,0,0,12,None,25.54,Month-to-Month,96.0,1
1028-FFNJK,0,79,1,0,1,30,Offer C,48.02,Month-to-Month,101.5,0
